Hummock;Plot;Location;Juvenile density(#/m2);Seedling density (#/m2);Total N (mg/g);Total P (mg/g);Total K (mg/g);Shrub biomass(g/m2);Grass biomass (g/m2);Basal area total (cm2/m2);Basal area adults (cm2/m2);relPAR
A;A1;C;0.0;0.6;4.8;0.2;2.8;51.2;14.4;0.000000;0;99%
A;A2;C;0.2;1.1;4.7;0.2;2.5;35.6;43.1;0.006957;0;90%
A;A3;C;0.0;1.4;7.2;0.5;2.0;75.4;63.8;0.000000;0;96%
A;A4;C;0.0;0.0;4.0;0.2;2.9;48.0;23.7;0.000000;0;98%
A;A5;C;0.0;0.0;5.0;0.2;0.9;36.6;18.1;0.000000;0;89%
A;A6;C;0.0;0.0;6.5;0.4;1.9;58.0;5.6;0.000000;0;93%
A;A7;C;0.0;0.0;4.8;0.3;3.4;130.6;23.3;0.000000;0;94%
A;A8;C;0.8;0.0;6.1;0.3;2.9;50.6;2.6;0.053254;0;
A;A9;C;0.0;0.0;5.8;0.3;2.3;140.8;0.0;0.000000;0;99%
A;A11;C;0.3;0.3;4.8;0.3;2.9;122.2;17.0;0.075000;0;98%
B;B1;C;0.0;0.0;7.5;0.5;1.9;238.0;97.8;2.326550;2.3265503876;
B;B2;C;0.0;0.7;6.7;0.5;2.5;117.6;13.3;4.149020;4.1490196078;
B;B3;C;0.0;0.2;8.8;0.6;2.1;237.2;27.2;0.339861;0.3398606665;
B;B4;C;0.5;0.0;6.5;0.3;2.3;76.9;32.7;3.481286;3.4571428571;
B;B5;C;0.0;0.6;5.1;0.2;2.2;128.6;0.0;0.673660;0.6736596737;
B;B6;C;0.6;0.8;8.0;0.4;2.8;49.4;9.2;3.168522;3.1391304348;
B;B7;C;0.0;0.7;4.9;0.2;3.1;35.4;1.2;0.211117;0.21111665;
B;B8;C;0.0;0.0;4.8;0.3;2.7;257.7;68.0;1.592803;1.5928030303;
B;B9;C;0.0;0.2;8.2;0.4;2.0;334.6;1.1;1.052189;1.0521885522;
B;B10;C;0.0;0.0;8.4;0.6;2.1;269.7;1.6;25.502500;25.5025;
C;C1;C;0.3;1.7;6.3;0.3;1.4;137.4;0.0;0.066138;0;93%
C;C3;C;0.1;1.5;6.6;0.3;1.2;340.9;0.0;6.346065;6.3449074074;78%
C;C4;C;0.0;1.1;5.7;0.4;3.4;22.2;43.3;2.670940;2.6709401709;85%
C;C5;C;0.3;1.6;5.1;0.2;1.7;117.4;4.0;0.545800;0.5314303067;
C;C6;C;0.0;0.0;7.2;0.4;2.9;287.7;0.0;0.000000;0;95%
C;C8;C;0.4;2.0;5.6;0.4;2.8;93.4;29.4;3.510015;3.4822804314;
C;C9;C;0.2;1.2;6.2;0.2;1.5;67.2;26.0;1.143293;1.1417682927;97%
C;C10;C;0.2;0.6;6.7;0.5;2.1;235.7;9.9;1.303745;1.293348712;
C;C14;C;0.2;0.2;7.3;0.4;2.4;101.3;8.9;11.441169;11.4301948052;
C;C16;C;0.1;0.0;6.1;0.5;2.8;198.8;1.7;3.564449;3.5478170478;
D;D1;C;0.4;0.1;7.8;0.6;1.4;120.1;13.7;1.734176;1.6853135035;
D;D2;C;0.3;0.4;5.8;0.3;2.9;229.0;0.0;1.907013;1.8810086682;93%
D;D5;C;0.1;0.9;5.1;0.3;2.1;77.7;18.1;2.765606;2.76499388;89%
D;D6;C;0.3;0.5;4.8;0.3;2.1;155.2;12.2;5.708075;5.7060041408;77%
D;D7;C;0.0;0.5;5.5;0.3;2.4;222.4;0.0;1.486598;1.486598309;
D;D10;C;1.2;1.2;4.9;0.2;1.8;82.7;25.6;0.376000;0.3333333333;86%
D;D11;C;0.2;0.8;8.4;0.5;1.7;218.7;11.2;53.625758;53.6121212121;76%
D;D12;C;0.1;0.1;6.8;0.4;2.1;257.7;0.0;5.394729;5.3843343229;
D;D14;C;0.3;0.9;6.7;0.4;2.5;197.3;0.0;5.093139;5.0324087591;
D;D16;C;0.5;0.3;5.0;0.3;2.3;118.6;64.4;19.738803;19.6901709402;
BN canopy;BN1 ;C;0.2;0.0;6.7;0.4;1.9;361.6;44.7;49.374770;49.3105096906;
BN open;BN1;C;1.2;0.0;5.4;0.3;2.5;92.6;35.9;1.954363;1.8703435333;
BN canopy;BN2;C;0.2;0.8;5.6;0.3;2.0;206.7;13.6;20.781635;20.7565026623;
BN open;BN2;C;0.3;1.2;6.0;0.3;2.8;93.6;3.9;0.002380;0;
BN canopy;BN3;C;0.0;0.2;5.7;0.3;2.4;326.9;0.0;15.083445;15.0834450509;
BN open;BN3;C;0.0;0.0;6.0;0.3;2.5;150.7;18.1;0.196350;0.1963495408;
BN canopy;BN4;C;0.1;0.3;5.4;0.3;2.9;186.2;37.2;22.312341;22.3076523126;
BN open;BN4;C;0.0;0.0;5.6;0.3;1.9;178.7;8.1;0.000000;0;
BN canopy;BN5;C;0.0;0.2;7.4;0.4;2.4;82.8;21.9;4.698109;4.6981090138;
BN open;BN5;C;0.7;0.5;5.9;0.3;2.2;109.6;41.0;0.047489;0;
BN canopy;BN7;C;0.0;0.0;7.1;0.4;2.2;183.2;85.6;22.630342;22.6303418496;
BN open;BN7;C;0.0;0.2;4.9;0.3;2.9;275.1;2.4;0.059207;0.0592069385;
BN canopy;BN8;C;0.0;0.0;6.6;0.4;2.8;276.4;96.2;0.000000;0;
BN open;BN8;C;0.0;0.4;6.0;0.3;2.3;109.8;15.3;0.000000;0;
BN canopy;BN9;C;0.2;0.0;5.9;0.3;1.5;315.0;11.4;35.219718;35.2058576734;
BN open;BN9;C;1.7;1.0;5.5;0.3;2.2;60.7;11.8;0.638136;0.3207042501;
BN canopy;BN10;C;0.7;0.4;6.0;0.4;3.5;118.8;101.9;42.992263;42.8582410632;
BN open;BN10;C;0.2;0.0;9.3;0.6;2.4;177.4;28.9;2.243789;2.2423477839;
BN canopy;BN11;C;0.3;0.3;6.3;0.3;1.6;266.7;37.7;11.114906;11.105164729;
BN open;BN11;C;0.0;0.0;5.0;0.2;1.4;144.3;24.3;0.000000;0;
BW canopy;BW1;C;0.0;3.2;;;;;;113.283434;113.2834338892;60%
BW open;BW1;C;2.8;1.7;;;;;;2.707987;2.5907231084;88%
BW canopy;BW4;C;0.0;1.6;;;;;;140.290189;140.2901886072;83%
BW open;BW4;C;1.3;0.8;;;;;;14.948745;14.785120426;83%
BW canopy;BW7;C;0.6;0.6;;;;;;100.797612;100.7927643027;70%
BW open;BW7;C;1.3;2.1;;;;;;3.989955;3.9303047333;93%
BW canopy;BW9;C;0.0;0.5;;;;;;327.300032;327.3000316451;30%
BW open;BW9;C;0.6;0.6;;;;;;0.070996;0;78%
BW canopy;BW10;C;0.3;1.6;;;;;;118.387223;118.3846564985;55%
BW open;BW10;C;0.5;1.1;;;;;;11.016352;11.0121964709;80%
BW canopy;BW2;C;0.1886792453;;;;;;;3.4310538635;3.4266082135;
BW open;BW2;C;0;;;;;;;1.2383111043;1.2383111043;
BW canopy;BW3;C;0.0462962963;;;;;;;24.452790041;24.4233376098;
BW open;BW3;C;0;;;;;;;0.5866991409;0.5866991409;
BW canopy;BW5;C;0.0888888889;;;;;;;15.1857607558;15.1421275245;
BW open;BW5;C;0;;;;;;;0.2898949319;0.2898949319;
BW canopy;BW6;C;0;;;;;;;9.2554264818;9.2554264818;
BW open;BW6;C;0.1129943503;;;;;;;0.4570396092;0.4481650537;
BW canopy;BW8;C;0;;;;;;;17.3741014613;17.3741014613;
BW open;BW8;C;0.0701754386;;;;;;;2.0029031058;2.0015252143;
A;A1;L;0.6;0.9;7.4;0.4;1.2;17.4;44.1;0.031296;0;94%
A;A2;L;0.0;0.9;6.0;0.3;1.9;8.7;40.0;0.000000;0;96%
A;A3;L;0.3;1.0;6.4;0.5;2.8;91.7;36.6;0.018904;0;96%
A;A4;L;0.0;1.5;5.6;0.3;0.9;17.8;14.8;0.000000;0;96%
A;A5;L;0.0;0.9;6.1;0.2;1.2;26.9;30.6;0.000000;0;86%
A;A6;L;0.0;1.5;4.9;0.2;1.8;37.9;23.6;0.000000;0;93%
A;A7;L;0.0;0.9;5.4;0.2;1.4;47.0;29.2;0.000000;0;99%
A;A8;L;0.0;1.1;6.3;0.3;1.8;48.6;42.1;0.000000;0;98%
A;A9;L;0.4;1.6;5.2;0.3;1.5;28.4;45.3;0.085210;0.062487395;96%
A;A11;L;0.1;0.7;5.8;0.3;1.5;34.4;58.3;0.002083;0;95%
B;B1;L;0.2;0.5;6.7;0.5;2.4;24.0;58.3;0.008734;0;
B;B2;L;0.5;0.4;6.5;0.4;1.3;26.9;35.8;0.026510;0;
B;B3;L;2.4;2.4;9.2;0.5;2.1;80.9;29.8;0.127283;0;
B;B4;L;0.0;0.3;5.8;0.2;1.1;29.0;54.8;0.002012;0;
B;B5;L;0.0;0.1;5.5;0.2;1.4;30.7;55.8;0.000000;0;
B;B6;L;0.0;1.0;4.7;0.2;1.7;19.8;30.1;0.000000;0;
B;B7;L;0.0;1.0;5.2;0.2;1.8;35.3;61.7;0.000000;0;
B;B8;L;0.0;0.1;5.1;0.3;2.1;16.1;84.7;0.000000;0;
B;B9;L;0.0;0.0;5.0;0.2;1.8;21.7;41.4;0.000000;0;
B;B10;L;0.4;0.0;7.7;0.4;1.4;36.3;33.4;0.022533;0;
C;C1;L;0.0;0.7;5.8;0.3;1.3;54.0;39.2;0.002116;5.22201291062929E-005;93%
C;C3;L;0.3;1.0;6.3;0.4;1.9;81.8;65.3;0.002894;0;97%
C;C4;L;0.2;1.6;7.1;0.4;1.2;25.8;47.3;0.006838;0;92%
C;C5;L;0.1;0.5;5.4;0.3;1.2;59.1;31.3;0.003592;0;
C;C6;L;0.9;0.3;6.8;0.4;1.6;12.3;24.3;0.048286;0;94%
C;C8;L;0.1;1.2;5.8;0.3;1.3;25.2;23.6;0.004166;0;
C;C9;L;0.1;1.1;5.1;0.2;1.3;31.2;30.8;0.005152;0;98%
C;C10;L;0.2;0.4;6.9;0.5;1.7;68.9;62.1;0.010396;0;
C;C14;L;0.0;0.5;6.6;0.3;1.9;39.2;67.0;0.000000;0;
C;C16;L;0.0;0.5;6.4;0.4;2.0;54.4;51.1;0.000000;0;
D;D1;L;0.4;0.0;7.6;0.4;1.3;9.3;31.4;0.020564;0;
D;D2;L;0.0;0.2;5.5;0.2;1.3;43.6;41.4;0.098503;0.3797590838;97%
D;D5;L;0.0;0.3;8.0;0.3;2.3;23.8;36.1;0.000000;0;95%
D;D6;L;0.1;0.6;5.5;0.3;1.6;36.3;50.6;0.105466;0.1014492754;93%
D;D7;L;0.2;0.5;4.8;0.2;1.0;17.9;19.6;0.009728;0;
D;D10;L;0.1;0.2;4.7;0.3;2.0;31.9;25.3;0.003200;0;85%
D;D11;L;0.0;3.7;6.5;0.3;1.2;24.0;23.4;0.000000;0;88%
D;D12;L;0.2;0.3;5.5;0.3;1.2;20.8;26.1;0.023731;0;
D;D14;L;0.0;0.1;6.2;0.4;1.5;33.7;38.7;0.000000;0;
D;D16;L;0.0;0.8;5.1;0.2;1.8;37.9;57.1;0.000000;0;
BN canopy;BN1;L;0.0;1.3;6.4;0.3;1.2;14.8;41.8;0.000000;0;
BN open;BN1;L;0.0;1.3;6.9;0.3;1.5;11.3;43.3;0.000000;0;
BN canopy;BN2;L;0.0;0.2;5.3;0.2;1.1;11.0;26.9;0.000000;0;
BN open;BN2;L;0.3;0.2;4.4;0.2;1.2;23.7;20.3;0.002618;0;
BN canopy;BN3;L;0.0;0.0;5.8;0.2;0.3;3.0;41.1;0.000000;0;
BN open;BN3;L;0.0;0.0;4.2;0.2;1.1;4.6;33.7;0.000000;0;
BN canopy;BN4;L;0.0;0.5;4.7;0.2;1.8;3.2;17.8;0.000000;0;
BN open;BN4;L;0.0;0.0;7.0;0.3;0.7;0.0;61.7;0.000000;0;
BN canopy;BN5;L;0.0;0.0;4.5;0.2;1.5;3.1;37.6;0.000000;0;
BN open;BN5;L;0.0;0.0;6.1;0.2;1.6;2.3;16.3;0.000000;0;
BN canopy;BN7;L;0.0;0.3;4.6;0.2;2.1;19.3;53.7;0.000000;0;
BN open;BN7;L;0.0;0.0;5.5;0.2;1.3;15.7;74.1;0.000000;0;
BN canopy;BN8;L;0.0;0.7;5.0;0.2;1.3;18.9;52.1;0.000000;0;
BN open;BN8;L;0.0;0.0;4.1;0.2;1.6;11.9;78.1;0.000000;0;
BN canopy;BN9;L;0.0;0.3;9.6;0.5;0.2;20.6;55.9;0.000000;0;
BN open;BN9;L;0.0;1.0;6.1;0.3;1.4;16.3;42.1;0.000000;0;
BN canopy;BN10;L;0.0;1.5;4.5;0.2;1.3;21.4;14.6;0.000000;0;
BN open;BN10;L;0.0;0.5;4.4;0.2;1.4;0.0;36.1;0.000000;0;
BN canopy;BN11;L;0.0;0.3;10.0;0.3;1.6;5.7;28.3;0.000000;0;
BN open;BN11;L;0.0;0.3;5.4;0.2;1.7;30.0;37.1;0.000000;0;
BW canopy;BW1;L;0.2;0.7;;;;;;0.011781;0;97%
BW open;BW1;L;0.0;0.5;;;;;;0.000000;0;99%
BW canopy;BW4;L;0.0;0.0;;;;;;0.000000;0;83%
BW open;BW4;L;0.0;0.0;;;;;;0.000000;0;81%
BW canopy;BW7;L;0.0;0.0;;;;;;0.000000;0;94%
BW open;BW7;L;0.0;0.0;;;;;;0.000000;0;95%
BW canopy;BW9;L;0.0;0.3;;;;;;0.000000;0;93%
BW open;BW9;L;0.0;0.2;;;;;;0.000000;0;91%
BW canopy;BW10;L;0.0;0.3;;;;;;0.000000;0;87%
BW open;BW10;L;0.0;0.0;;;;;;0.000000;0;85%
BW canopy;BW2;L;;;;;;;;;;
BW open;BW2;L;;;;;;;;;;
BW canopy;BW3;L;;;;;;;;;;
BW open;BW3;L;;;;;;;;;;
BW canopy;BW5;L;;;;;;;;;;
BW open;BW5;L;;;;;;;;;;
BW canopy;BW6;L;;;;;;;;;;
BW open;BW6;L;;;;;;;;;;
BW canopy;BW8;L;;;;;;;;;;
BW open;BW8;L;;;;;;;;;;
C;C2;C;0;;;;;;;21.2160714286;21.2160714286;79%
C;C7;C;0.3566497324;;;;;;;1.7198879552;1.619047619;94%
C;C11;C;0.8267789252;;;;;;;0.025974026;0;92%
C;C12;C;0.4244131816;;;;;;;0.7433333333;0.66;90%
C;C13;C;0.5052537876;;;;;;;2.0753968254;2.0714285714;92%
D;D3;C;0.2273642044;;;;;;;6.6517857143;6.4732142857;85%
D;D4;C;0.4080895977;;;;;;;8.3215811966;8.2980769231;85%
D;D8;C;;;;;;;;;;81%
D;D9;C;0.0819330466;;;;;;;5.0109395109;5.0006435006;91%
D;D13;C;0.5280717006;;;;;;;1.8414746544;1.7594470046;94%
C;C2;L;;;;;;;;;;98%
C;C7;L;;;;;;;;;;95%
C;C11;L;;;;;;;;;;93%
C;C12;L;;;;;;;;;;80%
C;C13;L;;;;;;;;;;96%
D;D3;L;;;;;;;;;;94%
D;D4;L;;;;;;;;;;96%
D;D8;L;;;;;;;;;;92%
D;D9;L;;;;;;;;;;98%
D;D13;L;;;;;;;;;;94%
